ZIP,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20
70001,8,31,723,4043,4083,5464,7337,2897,1394,2918,1242,3013,2175,5585,392,4298,1880,4216,1892,518
70002,10,255,13,1812,256,607,5095,970,575,3463,712,3339,496,2979,329,7256,87,3998,629,118
70003,6,6,0,787,137,241,3520,212,21,521,207,447,67,807,293,1224,204,1703,516,22
70005,0,14,0,291,70,192,1254,43,183,841,82,902,59,548,36,595,49,1101,294,0
70030,41,147,87,59,936,76,164,435,35,5,8,22,0,20,0,48,9,152,19,0
70031,1,0,28,1141,1648,15,143,249,0,14,20,10,0,100,0,466,0,23,17,0
70032,0,0,0,46,1051,49,89,478,0,0,23,9,103,16,0,15,100,126,22,43
70036,7,22,4,112,47,27,120,135,0,0,8,4,1,33,0,4,12,35,8,44
70037,69,566,127,757,1279,786,482,1224,41,170,434,492,0,657,211,389,26,520,339,303
70039,0,0,0,36,278,4,347,83,0,67,13,55,0,263,0,292,0,281,59,0
70040,7,0,0,8,81,12,77,324,0,0,6,11,0,1,27,50,3,5,23,0
70041,5,273,72,71,214,42,86,237,0,0,28,5,0,11,0,0,43,122,10,0
70043,0,11,82,570,634,76,1439,95,34,189,41,168,0,117,1137,963,23,905,154,659
70047,4,5,62,749,2104,176,446,590,7,69,50,104,0,201,3,297,86,263,80,5
70049,38,15,0,30,64,20,124,91,0,41,0,13,82,12,0,108,142,83,4,87
70051,22,64,0,315,1473,379,295,535,59,18,6,111,104,191,1013,42,51,61,51,191
70052,17,0,0,21,737,4,315,221,25,85,20,43,0,48,809,487,24,173,72,71
70053,1,0,315,764,319,374,2007,426,170,222,160,782,112,1048,74,1369,588,1303,380,1992
70056,2,10,0,158,52,44,1449,83,41,227,131,271,10,595,74,2793,79,1040,293,0
70057,1,34,191,973,1305,154,5,449,68,59,4,121,11,440,1836,82,44,29,22,834
70058,1,217,0,1068,1009,1324,4860,911,124,362,290,757,84,800,113,1187,941,2113,480,1867
70062,16,43,14,1803,1127,853,1046,1655,84,174,643,380,21,1785,34,515,183,1362,668,731
70065,2,33,54,95,15,87,1924,89,43,204,144,159,0,202,16,573,744,1170,92,0
70068,0,302,176,1139,1028,332,1532,410,107,264,178,311,73,453,16,953,125,1094,165,199
70070,10,0,0,34,0,35,207,2,19,30,11,34,1,8,0,93,36,170,29,5
70071,35,0,0,27,74,10,75,21,0,0,3,6,2,61,4,0,0,25,3,0
70072,5,10,162,718,534,82,1000,967,121,277,227,226,84,461,6071,3797,18,1010,397,126
70075,1,0,13,164,30,1,87,11,0,4,5,3,12,71,21,1,7,152,3,0
70079,0,0,25,110,38,24,137,0,0,10,16,39,17,15,0,39,1,15,26,0
70083,17,4,0,0,0,7,25,4,0,4,0,0,0,1,692,6,0,0,4,515
70084,0,0,0,0,138,2,59,195,0,0,0,0,0,1,0,4,0,0,4,0
70085,0,0,0,0,18,0,20,14,0,0,3,5,4,17,0,5,7,0,0,0
70086,64,0,0,51,370,77,90,152,0,0,0,16,0,0,0,52,11,25,3,0
70087,0,31,0,727,299,1764,186,589,1,26,128,652,261,697,49,150,35,139,103,0
70090,18,0,1,9,0,1,45,2,0,4,0,0,0,2,11,7,0,0,9,0
70094,0,0,0,66,83,189,421,31,0,65,101,50,4,240,0,137,183,507,60,26
70112,97,1466,109,750,734,893,3465,1674,3546,4396,1364,8320,2181,6691,4375,8263,3515,22047,2029,3003
70113,0,0,0,148,285,235,430,42,46,37,174,161,2,443,735,591,26,1471,103,29
70114,0,0,8,71,33,46,1701,326,12,242,166,315,48,309,1702,1502,114,862,224,1
70115,1,4,2,615,295,292,2078,840,205,279,98,836,413,493,1671,8662,326,3782,617,0
70116,0,0,0,155,30,29,472,43,200,31,69,135,13,291,67,239,31,1493,139,65
70117,0,0,0,155,236,130,632,338,133,24,65,242,14,183,813,555,14,1093,287,137
70118,9,0,0,298,69,201,1273,185,484,138,304,734,49,560,2939,993,1285,2525,643,0
70119,16,0,55,858,175,336,1168,1035,178,260,223,1342,503,1591,1347,1330,1171,1811,544,3280
70121,0,0,220,416,326,1053,554,403,3,4,188,143,24,593,70,9127,3,349,254,0
70122,22,0,0,205,149,130,832,744,37,161,53,754,29,509,2611,410,27,861,172,131
70123,0,0,0,287,18,47,479,10,3,523,24,167,13,73,109,463,29,669,74,0
70124,0,6,0,398,17,195,263,17,21,140,43,294,3,143,87,228,130,1012,123,13
70125,0,0,0,292,176,296,340,261,213,3,43,124,109,353,777,113,0,193,84,0
70126,3,0,31,1002,2187,769,681,1608,36,112,222,552,31,674,514,581,57,425,200,128
70127,0,0,0,24,8,19,1237,77,6,227,80,66,3,171,369,498,18,430,54,0
70128,6,0,0,9,0,1,174,1,0,7,34,7,0,20,2,410,0,82,3,0
70129,0,0,0,66,25,5,54,13,0,1,11,18,134,0,251,68,2,15,13,0
70130,1,0,0,106,134,150,718,129,41,173,197,507,26,959,363,440,129,1620,155,279
70131,0,0,1,28,4,3,23,44,2,1,98,108,21,110,202,418,75,147,8,0
70346,109,0,14,40,433,81,603,92,2,157,92,31,0,2,3539,329,16,306,73,460
70420,9,368,91,1031,777,1320,2914,1078,413,374,234,695,946,903,289,1379,340,1884,339,372
70427,189,6,117,266,835,127,860,46,95,198,36,78,0,114,434,1649,22,571,86,218
70431,0,10,3,65,8,4,25,15,0,2,6,41,0,11,22,17,3,5,9,0
70433,107,170,71,1481,806,1150,3234,1206,438,962,231,1609,580,742,6216,6619,515,2813,703,1622
70438,11,25,26,7,0,39,284,15,4,104,9,42,0,51,1028,367,4,165,34,15
70445,0,0,3,151,31,27,115,7,0,11,0,41,0,300,2,238,2,114,22,24
70447,2,17,17,484,43,226,731,402,21,519,184,966,188,200,167,688,275,738,218,0
70448,32,0,23,711,69,191,639,68,39,271,57,620,22,337,161,789,34,977,323,279
70452,2,18,9,687,179,698,293,180,0,64,66,187,18,62,7,382,48,417,109,2
70458,1,86,82,673,1234,414,2915,153,329,394,117,648,56,384,16,3241,212,2747,396,476
70460,3,0,8,106,4,11,125,9,6,3,3,49,1,46,89,467,4,122,53,0
70461,0,0,10,242,109,186,1540,54,13,196,66,212,22,503,66,1771,175,1016,205,0
70723,8,0,31,97,1572,20,26,446,0,5,124,2,0,25,0,47,0,39,12,318
